feature number,added feature,r2 score
155,Condition2_RRAn,0.9097912405924514
156,Condition2_RRNn,0.9086561367158049
157,BldgType_1Fam,0.9102003997667383
158,BldgType_2fmCon,0.9106249489855006
159,BldgType_Duplex,0.9108821760919938
160,BldgType_Twnhs,0.913161674843207
161,BldgType_TwnhsE,0.9119008441957848
162,HouseStyle_1.5Fin,0.9083816213507532
163,HouseStyle_1.5Unf,0.907702309847919
164,HouseStyle_1Story,0.9098509943757392
165,HouseStyle_2.5Fin,0.9108398741763181
166,HouseStyle_2.5Unf,0.9114881858316524
167,HouseStyle_2Story,0.9105233983348993
168,HouseStyle_SFoyer,0.9086067900539476
169,HouseStyle_SLvl,0.908568232226987
170,RoofStyle_Flat,0.9105541724969415
171,RoofStyle_Gable,0.908825303832624
172,RoofStyle_Gambrel,0.9125004568915499
173,RoofStyle_Hip,0.9088424467192299
174,RoofStyle_Mansard,0.9094947369627847
175,RoofStyle_Shed,0.9115292018355339
176,RoofMatl_ClyTile,0.9078708448922032
177,RoofMatl_CompShg,0.9089760340014164
178,RoofMatl_Membran,0.9099855957073631
179,RoofMatl_Metal,0.9106718757207077
180,RoofMatl_Roll,0.9125162120361959
181,RoofMatl_Tar&Grv,0.9121503714453416
182,RoofMatl_WdShake,0.9112834242045511
183,RoofMatl_WdShngl,0.9092640837914462
184,Exterior1st_AsbShng,0.9101626026051886
185,Exterior1st_AsphShn,0.9091095025591028
186,Exterior1st_BrkComm,0.9071380840647539
187,Exterior1st_BrkFace,0.9084693425996875
188,Exterior1st_CBlock,0.9092809628101755
189,Exterior1st_CemntBd,0.909226139807859
190,Exterior1st_HdBoard,0.9096137062824642
191,Exterior1st_ImStucc,0.9104994295574442
192,Exterior1st_MetalSd,0.907144941184825
193,Exterior1st_Plywood,0.9078202766121533
194,Exterior1st_Stone,0.9115021517379732
195,Exterior1st_Stucco,0.9084069134188733
196,Exterior1st_VinylSd,0.9087302216786886
197,Exterior1st_Wd Sdng,0.9070705266771346
198,Exterior1st_WdShing,0.9109632785094691
199,Exterior2nd_AsbShng,0.9105744939273318
200,Exterior2nd_AsphShn,0.9074874550247088
201,Exterior2nd_Brk Cmn,0.9117099000614416
202,Exterior2nd_BrkFace,0.9067207802475319
203,Exterior2nd_CBlock,0.9088365672318878
204,Exterior2nd_CmentBd,0.9098265906228452
205,Exterior2nd_HdBoard,0.9097048154426315
206,Exterior2nd_ImStucc,0.9088825634864051
207,Exterior2nd_MetalSd,0.9125503351122238
208,Exterior2nd_Other,0.9078571069765449
209,Exterior2nd_Plywood,0.9089914989428636
210,Exterior2nd_Stone,0.9109264099451895
211,Exterior2nd_Stucco,0.9099192078592029
212,Exterior2nd_VinylSd,0.9075973881097241
213,Exterior2nd_Wd Sdng,0.9117991129414025
214,Exterior2nd_Wd Shng,0.9083536398104661
215,MasVnrType_BrkCmn,0.9085535953770001
216,MasVnrType_BrkFace,0.9105701529470303
217,MasVnrType_None,0.9093758429561246
218,MasVnrType_Stone,0.9111236447976947
219,Foundation_BrkTil,0.9086021241298047
220,Foundation_CBlock,0.911811899130556
221,Foundation_PConc,0.9129336311919298
222,Foundation_Slab,0.9095822088816069
223,Foundation_Stone,0.9108341659370822
224,Foundation_Wood,0.9070754313139292
225,Heating_Floor,0.9097525085740987
226,Heating_GasA,0.911363731142322
227,Heating_GasW,0.9086882093832277
228,Heating_Grav,0.9100239972130151
229,Heating_OthW,0.910686750092378
230,Heating_Wall,0.9089203359813347
231,CentralAir_N,0.9066030685427295
232,CentralAir_Y,0.9067505592788054
233,Electrical_FuseA,0.909019329995877
234,Electrical_FuseF,0.910419848960212
235,Electrical_FuseP,0.9071981008723937
236,Electrical_Mix,0.9090558269395448
237,Electrical_None,0.9060678092530637
238,Electrical_SBrkr,0.9084418678706341
239,GarageType_2Types,0.9071273947293905
240,GarageType_Attchd,0.9082526272837307
241,GarageType_Basment,0.9058940515970861
242,GarageType_BuiltIn,0.9062718911349137
243,GarageType_CarPort,0.9058099144752109
244,GarageType_Detchd,0.9091969315696339
245,GarageType_None,0.9080048283776778
246,PavedDrive_N,0.9051919045954289
247,PavedDrive_P,0.9054121168415065
248,PavedDrive_Y,0.9057323777489998
249,MiscFeature_Gar2,0.9067517000378227
250,MiscFeature_None,0.9099317089733778
251,MiscFeature_Othr,0.9062474059815147
252,MiscFeature_Shed,0.9052999283691594
253,MiscFeature_TenC,0.9043694471111776
254,SaleType_COD,0.9063151237427154
255,SaleType_CWD,0.9071270328667718
256,SaleType_Con,0.9061268910094611
257,SaleType_ConLD,0.9066082280477581
258,SaleType_ConLI,0.9111873328334191
259,SaleType_ConLw,0.9069303208028082
260,SaleType_New,0.9069251814143992
261,SaleType_Oth,0.9049963011956088
262,SaleType_WD,0.9039034640385966
263,SaleCondition_Abnorml,0.9053503995258899
264,SaleCondition_AdjLand,0.9048619332873581
265,SaleCondition_Alloca,0.9055572229076079
266,SaleCondition_Family,0.9036583552568065
267,SaleCondition_Normal,0.9019411486022901
268,SaleCondition_Partial,0.8968499198104077
